Temps;EA1
1.362;3.09474090812728
1.368;3.08919358532876
1.374;3.08919358532876
1.38;3.1002882309258
1.386;3.1002882309258
1.392;3.1002882309258
1.398;3.09474090812728
1.404;3.1002882309258
1.41;3.09474090812728
1.416;3.08919358532876
1.422;3.08919358532876
1.428;3.08364626253024
1.434;3.08364626253024
1.44;3.07809893973172
1.446;3.0725516169332
1.452;3.06700429413468
1.458;3.06145697133616
1.464;3.05590964853764
1.47;3.05036232573912
1.476;3.05036232573912
1.482;3.03372035734355
1.488;3.02817303454503
1.494;3.02262571174651
1.5;3.01153106614947
1.506;3.00043642055243
1.512;3.00043642055243
1.518;2.98379445215687
1.524;2.97824712935835
1.53;2.96715248376131
1.536;2.95605783816427
1.542;2.93941586976871
1.548;2.93941586976871
1.554;2.91722657857463
1.56;2.90613193297759
1.566;2.89503728738055
1.572;2.87839531898499
1.578;2.86175335058942
1.584;2.84511138219386
1.59;2.83401673659682
1.596;2.82292209099978
1.602;2.80628012260422
1.608;2.78963815420866
1.614;2.7729961858131
1.62;2.76190154021606
1.626;2.75080689461902
1.632;2.73416492622346
1.638;2.7175229578279
1.644;2.69533366663381
1.65;2.68423902103677
1.656;2.66759705264121
1.662;2.65095508424565
1.668;2.62876579305157
1.674;2.62321847025305
1.68;2.60102917905897
1.686;2.58438721066341
1.692;2.56774524226785
1.698;2.55665059667081
1.704;2.53446130547673
1.71;2.51781933708116
1.716;2.49563004588708
1.722;2.48453540029004
1.728;2.473440754693
1.734;2.4457041407004
1.74;2.44015681790188
1.746;2.4179675267078
1.752;2.40132555831224
1.758;2.3902309127152
1.764;2.36804162152112
1.77;2.35139965312555
1.776;2.33475768472999
1.782;2.31811571633443
1.788;2.30147374793887
1.794;2.28483177954331
1.8;2.27373713394627
1.806;2.25709516555071
1.812;2.24600051995367
1.818;2.22381122875959
1.824;2.21271658316255
1.83;2.20162193756551
1.836;2.18497996916994
1.842;2.1738853235729
1.848;2.15724335517734
1.854;2.13505406398326
1.86;2.12395941838622
1.866;2.11286477278918
1.872;2.09622280439362
1.878;2.0906754815951
1.884;2.07958083599806
1.89;2.06848619040102
1.896;2.05739154480398
1.902;2.04629689920694
1.908;2.04074957640842
1.914;2.02410760801286
1.92;2.01856028521433
1.926;2.00746563961729
1.932;1.99637099402025
1.938;1.99082367122173
1.944;1.97972902562469
1.95;1.97418170282617
1.956;1.96863438002765
1.962;1.95753973443061
1.968;1.95753973443061
1.974;1.95199241163209
1.98;1.94644508883357
1.986;1.94089776603505
1.992;1.93535044323653
1.998;1.92980312043801
2.004;1.92980312043801
2.01;1.92980312043801
2.016;1.92425579763949
2.022;1.92425579763949
2.028;1.92425579763949
2.034;1.91870847484097
2.04;1.91870847484097
2.046;1.91870847484097
2.052;1.92425579763949
2.058;1.92425579763949
2.064;1.91870847484097
2.07;1.92980312043801
2.076;1.92425579763949
2.082;1.91870847484097
2.088;1.92980312043801
2.094;1.93535044323653
2.1;1.93535044323653
2.106;1.94644508883357
2.112;1.94644508883357
2.118;1.95199241163209
2.124;1.95753973443061
2.13;1.96308705722913
2.136;1.96863438002765
2.142;1.97972902562469
2.148;1.98527634842321
2.154;1.99637099402025
2.16;2.00191831681877
2.166;2.01301296241581
2.172;2.02410760801286
2.178;2.0352022536099
2.184;2.04074957640842
2.19;2.05184422200546
2.196;2.0629388676025
2.202;2.06848619040102
2.208;2.08512815879658
2.214;2.09622280439362
2.22;2.10731744999066
2.226;2.12395941838622
2.232;2.12950674118474
2.238;2.14060138678178
2.244;2.16833800077438
2.25;2.17943264637142
2.256;2.19607461476699
2.262;2.20716926036403
2.268;2.21826390596107
